Story Index,Grammar,Creativity,Consistency,Plot
0,3,3,2,2
1,2,3,1,1
2,4,2,3,3
3,6,3,5,2
4,1,2,1,1
5,1.0,2.0,1.0,1.0
6,4,5,4,3
7,4,4,3,3
8,6,2,1,2
9,4,6,3,3
10,1,3,2,1
11,3,4,4,2
12,2,4,3,3
13,2.0,3.0,2.0,1.0
14,2,4,3,3
15,3,4,2,2
16,3,5,4,2
17,3,5,4,2
18,5,4,3,3
19,2,3,2,2
20,4,3,2,2
21,2,3,2,1
22,4,2,1,1
23,4,3,2,2
24,3,4,3,2
25,2,4,3,2
26,4,3,2,2
27,5,3,2,2
28,3,3,1,1
29,4,4,3,3
30,3,2,2,1
31,1.0,3.0,1.0,1.0
32,2.0,3.0,2.0,2.0
33,3,3,2,2
34,3,3,4,3
35,1,3,2,2
36,3.0,6.0,4.0,3.0
37,4.0,4.0,3.0,2.0
38,3,4,3,2
39,4,3,4,4
40,2,4,3,2
41,2,2,1,1
42,2,3,1,1
43,2,3,2,1
44,4,3,2,2
45,3.0,3.0,2.0,2.0
46,4.0,4.0,3.0,2.0
47,5.0,3.0,4.0,3.0
48,3,3,2,2
49,5,3,4,4
50,4,2,1,1
51,3,3,2,2
52,2.0,2.0,1.0,1.0
53,8,2,1,1
54,3,3,2,2
55,4,3,4,3
56,4,4,3,3
57,2.0,4.0,3.0,2.0
58,4,5,3,3
59,5,5,3,4
60,3,3,2,2
61,2,3,2,1
62,2,2,1,1
63,2,4,3,2
64,3,3,4,3
65,4,4,3,3
66,2,4,1,1
67,3,3,2,2
68,2,4,3,2
69,1,3,2,1
70,3,4,3,3
71,3.0,3.0,2.0,2.0
72,4,4,3,3
73,6,4,3,3
74,3,3,2,2
75,4,3,3,3
76,4,3,2,2
77,1,3,2,1
78,3,4,3,2
79,4,4,3,3
80,4,4,2,1
81,2,2,1,1
82,2,3,1,1
83,2.0,1.0,1.0,1.0
84,3,2,1,1
85,3,3,3,3
86,4,4,3,3
87,4,4,3,3
88,3,3,1,1
89,6,2,1,2
90,2,4,3,2
91,4,3,4,3
92,6,3,4,4
93,2,3,2,1
94,3,3,2,2
95,7,6,5,4
96,4,4,3,2
97,3,4,3,2
98,3,4,3,2
99,7,5,4,3
100,2,4,2,2
101,2,4,2,2
102,2,4,2,2
103,5,4,4,3
104,5,2,3,3
105,4,4,2,3
106,3,4,3,3
107,6,4,3,3
108,2,3,1,1
109,3,3,2,2
110,1,2,1,1
111,3,4,3,3
112,2,3,2,2
113,2,5,3,2
114,2,3,2,1
115,3.0,4.0,2.0,1.0
116,3,3,4,3
117,7,6,7,6
118,2,2,1,1
119,4,2,3,3
120,4.5,6.0,5.5,5.0
121,2.0,3.0,2.0,1.0
122,1,3,2,1
123,1,3,2,1
124,3,4,3,3
125,3,3,2,2
126,1,1,1,1
127,1,2,1,1
128,4.0,4.0,3.0,2.0
129,3,4,3,3
130,5,3,4,4
131,6,4,3,3
