Story Index,Grammar,Creativity,Consistency,Plot
0,3,4,3,2
1,2,4,3,3
2,5.5,4.5,5.5,4.5
3,2,3,2,2
4,1,2,3,1
5,2,2,1,1
6,4.0,3.0,2.0,3.0
7,1,2,1,1
8,1,3,2,1
9,4,3,2,2
10,4,5,6,3
11,4,3,4,2
12,3,4,4,3
13,5,4,2,1
14,3,6,4,3
15,3,3,4,2
16,2,4,3,2
17,4,5,3,2
18,3,2,1,1
19,3,1,1,1
20,4,4,2,3
21,3,5,2,2
22,7,4,6,3
23,1,3,2,1
24,5,4,5,4
25,2,3,4,3
26,3,4,2,2
27,6,6,7,7
28,6,4,3,2
29,5,3,4,4
30,2,3,4,3
31,1,3,2,2
32,4,3,4,3
33,4,3,2,1
34,2,5,3,1
35,3,2,3,2
36,6,3,2,2
37,5,4,3,3
38,1,2,1,1
39,4,3,2,2
40,2,4,2,2
41,3,3,2,1
42,2,3,2,2
43,3,2,3,2
44,4,2,3,2
45,2.0,2.0,1.0,1.0
46,4,4,3,3
47,4,4,3,2
48,2,3,2,1
49,2,4,3,2
50,1,3,2,2
51,2,5,3,3
52,6.0,4.0,3.0,4.0
53,4,4,2,2
54,2,5,4,3
55,4,3,5,4
56,1,2,1,1
57,1,3,2,1
58,2,3,2,3
59,4,3,2,2
60,1,3,2,1
61,4,6,3,3
62,2,4,2,1
63,2,4,3,2
64,2,3,4,3
65,6,3,2,4
66,3,3,2,2
67,4,4,3,3
68,4,3,5,4
69,3.0,3.0,2.0,2.0
70,3,3,2,2
71,2,3,2,1
72,4,5,3,3
73,2,4,3,3
74,5,6,4,3
75,5,4,3,2
76,3.0,2.0,1.0,1.0
77,8,2,1,1
78,6.0,5.0,5.0,4.0
79,3,5,2,2
80,3,5,4,4
81,2,2,1,1
82,2,4,3,2
83,4.0,4.0,3.0,3.0
84,4,3,2,2
85,2,4,3,2
86,2,3,2,2
87,4,2,1,2
88,5,2,1,2
89,4,4,3,3
90,1,2,3,1
91,2,4,3,2
92,3,4,3,2
93,2.0,4.0,3.0,2.0
94,5,3,2,2
95,5,4,3,4
96,3,4,3,2
97,2,3,4,3
98,7,2,3,2
99,4,4,3,3
100,4,4,2,3
101,3,3,2,1
102,2,4,3,3
103,6,4,3,4
104,3,4,3,2
105,5,4,3,3
106,2,3,2,2
107,2,5,4,3
108,3,3,2,2
109,3,4,3,2
110,4,4,3,3
111,4,4,5,3
112,1.0,2.0,1.0,1.0
113,3,3,2,2
114,4,3,2,2
115,1,3,1,1
116,2,6,5,3
117,3,2,1,1
118,4,3,2,2
119,1,1,1,1
120,4,3,2,3
121,6,3,2,2
122,3.0,2.0,1.0,1.0
123,3,4,3.5,3
124,5,5,4,3
125,4.0,4.0,3.0,3.0
126,4,4,5,4
127,4,5,3,4
128,4,6,3,2
129,6,4,1,2
130,2.0,3.0,-1.0,1.0
131,3,3,4,2
132,4,3,2,2
133,4,4,3,3
134,6,4,5,5
135,2,3,2,1
136,4,4,3,3
137,3,3,2,2
138,5,3,4,4
139,4,4,3,2
140,4,5,3,2
141,3,2,3,2
142,2,2,3,2
143,4,2,3,2
144,2,5,3,2
145,7,7,6,6
146,4,4,4,3
147,5,3,4,4
148,4,4,5,3
149,5,4,3,4
150,3,3,2,1
151,7,7,6,4
152,5,3,4,3
153,4.0,2.0,1.0,1.0
154,2,3,6,1
155,5,3,2,2
156,2,3,2,1
157,4,3,2,3
