Story Index,Grammar,Creativity,Consistency,Plot
0,7,2,1,2
1,6,4,3,3
2,5,4,2,3
3,5,2,1,1
4,6,4,3,2
5,8,2,1,2
6,8,3,2,3
7,5,2,1,1
8,3,1,1,1
9,7,2,1,1
10,6.0,2.0,3.0,3.0
11,6,4,3,4
12,5,3,4,3
13,7,4,5,3
14,8,2,1,1
15,5,4,3,2
16,6,2,1,2
17,5,5,4,4
18,6,3,2,3
19,7,2,1,1
20,6,4,3,2
21,4,3,1,3
22,8,3,2,3
23,7,4,3,3
24,7,3,5,4
25,6,4,3,2
26,6,2,1,2
27,7,4,3,3
28,7,3,2,1
29,7,3,1,1
30,6.0,2.0,1.0,2.0
31,7,3,2,3
32,6,1,1,1
33,5,2,1,1
34,7,4,3,2
35,8,6,5,7
36,6,4,3.5,3
37,5,3,2,2
38,7,2,1,2
39,7,2,1,1
40,8,5,7,6
41,7,2,1,1
42,6,3,2,3
43,8,2,1,1
44,9,5,4,5
45,8,2,1,1
46,5,6,7,6
47,4,3,2,3
48,6.0,1.0,1.0,1.0
49,8,1,1,1
50,8,2,1,1
51,8,5,4,4
52,4,4,2,3
53,2.0,2.0,1.0,1.0
54,4,2,2,1
55,7,3,2,3
56,8,2,0.5,2.5
57,6,4,2,3
58,3.0,2.0,1.0,1.0
59,4,3,2,2
60,6,3,2,2
61,6,2,1,2
62,6,2,3,3
63,7,4,3,3
64,7,6,5,5
65,7,3,2,3
66,6,3,2,3
67,8.0,1.0,1.0,1.0
68,4,3,2,3
69,8,2,2,1
70,7.0,3.0,2.0,2.0
71,6,2,1,2
72,6,2,1,1
73,8,2,1,2
74,2,1,1,2
75,2,1,1,1
76,7.0,2.0,2.0,2.0
77,7,3,2,3
78,7,4,5,4
79,9,6,8,7
80,6,3,2,3
81,5,2,1,1
82,6,2,3,3
83,6,3,3,4
84,7.0,3.0,1.0,2.0
85,3,2,1,1
86,4,2,1,2
87,7,4,6,5
88,4,2,1,1
89,4.0,1.0,1.0,2.0
90,7,4,2,3
91,6,3,2,2
92,6.0,3.0,1.0,2.0
93,10,3,2,2
94,5,1,1,1
95,6,4,3,2
96,5,3,2,2
97,6,3,4,4
98,6,2,1,1
99,4,3,2,2
