Story Index,Grammar,Creativity,Consistency,Plot
0,3,3,2,2
1,5,3,2,2
2,2,3,2,2
3,5,4,4,3
4,3,4,3,3
5,2,3,2,1
6,1,2,2,1
7,2,4,2,2
8,3,5,3,2
9,4,4,2,2
10,4,3,2,2
11,4,5,4,3
12,2,4,3,2
13,2,4,3,2
14,2,4,3,2
15,2,3,2,1
16,2.0,4.0,3.0,2.0
17,4,4,3,3
18,1,3,2,1
19,3,2,2,2
20,4,3,4,3
21,6,4,3,4
22,3,2,1,2
23,5,4,4,3
24,5,4,6,3
25,5,4,3,3
26,2,3,2,2
27,3,5,3,2
28,2,4,3,3
29,5,5,4,3
30,6,3,4,3
31,5,4,4,7
32,4,2,3,2
33,4,3,4,3
34,6,3,3,3
35,4,4,2,2
36,4,4,3,3
37,4,5,4,3
38,3,3,2,2
39,3,3,2,2
40,3,5,3,3
41,3,4,3,3
42,3,3,2,1
43,3,4,4,2
44,5,4,3,2
45,2,4,3,3
46,6,3,5,4
47,2,3,2,1
48,2,3,4,3
49,5,4,6,5
50,7,4,3,4
51,6,3,2,2
52,4,2,3,2
53,3,5,4,3
54,4,3,2,1
55,2,4,3,3
56,4,4,3,3
57,3,6,4,2
58,3,5,4,2
59,3,5,3,2
60,2,4,3,2
61,5,3,2,3
62,3,4,3,3
63,6,2,5,4
64,4,3,2,2
65,5,4,2,3
66,4,3,2,3
67,2,3,2,2
68,6,3,4,4
69,7,4,2,3
70,2,3,2,1
71,2,4,3,3
72,3,5,4,3
73,8,5,6,4
74,3,3,2,2
75,4.0,3.0,2.0,2.0
76,3,5,6,4
77,8,7,7,6
78,5,3,2,2
79,3,2,1,1
80,4,3,2,2
81,2,2,1,1
82,4,3,2,3
83,6,4,2,3
84,4,4,3,3
85,4,5,3,3
86,3,4,2,2
87,3,4,2,3
88,4,3,2,3
89,3,4,3,2
90,2,2,3,2
91,5.0,4.0,4.0,3.0
92,2,4,3,2
93,3,3,2,2
94,4,5,4,3
95,2,3,4,3
96,6,4,3,3
97,5,4,1,2
98,6,4,3,4
99,4,4,3,3
100,3,3,2,2
101,3,3,4,3
102,9,8,7,7
103,5,3,4,3
104,4,3,2,1
105,4,2,3,3
106,9,7,9,8
107,4,4,3,3
108,5.0,2.0,1.0,1.0
109,2,4,3,2
110,2,3,4,3
111,1.0,3.0,2.0,1.0
112,4,4,5,4
113,4,5,3,2
114,6,6,5,5
115,1,2,1,1
116,3,3,4,3
117,4,3,3,3
118,6,3,2,3
119,5,4,3,3
120,3,2,2,1
121,5,3,4,2
122,3,4,3,3
123,5,3,2,2
124,4,5,3,3
125,8,4,3,2
126,1,3,2,2
127,1,4,3,2
128,2,3,2,2
129,2,4,3,2
130,4.0,4.0,3.0,3.0
131,2,4,3,1
132,2,3,2,2
133,3,5,4,3
134,6,4,3,5
135,6,3,4,4
136,2,3,2,1
137,2,4,3,3
138,6,2,3,4
139,1.0,2.0,1.0,1.0
140,2,3,2,1
141,3,2,3,2
142,2,4,3,3
143,2,6,3,2
144,2,4,3,2
145,8,4,5,4
146,4,4,2,3
147,3,4,3,2
148,4,3,2,2
149,2,3,2,1
150,2,4,2,1
151,6,3,2,3
152,1,2,1,1
153,2,3,2,1
154,5,7,6,5
155,3,3,4,3
156,3,4,3,2
157,3,2,1,1
158,4,3,2,2
159,5,3,2,2
160,8,4,7,6
161,1,4,3,2
162,2.0,3.0,2.0,1.0
163,5,5,4,5
164,2,4,3,2
165,2.0,3.0,2.0,2.0
